Fecha Saldo,Fecha Transacción,Descripción,Valor,Saldo,Regional / Oficina,Tipo Transacción,Oficina,Ref. Titular Cuenta,Detalles Adicionales
01/10/2024,,SALDO INICIAL,0.00,3346201.85,,,,,
,01/10/2024,DEBITO AUTORIZADO POR ACH,-180000.00,,320532,N209,(BCS) ACH,3V06151951,DEBITO POR LOTE:0006151951 PA0000706807
,01/10/2024,GRAVAMEN MOVS FINANCIEROS,-720.00,,320532,N001,(BCS) ACH,3V06151951,DEBITO POR LOTE:0006151951 PA0000706807
01/10/2024,,SALDO FINAL,0.00,3165481.85,,,,,
02/10/2024,,SALDO INICIAL,0.00,3165481.85,,,,,
,02/10/2024,COMPRA INTERNET,-122994.00,,321102,N227,(BCS) Internet,953730177,
,02/10/2024,GRAVAMEN MOVS FINANCIEROS,-492.00,,321102,N001,(BCS) Internet,953730177,
,02/10/2024,DEPOSITO EN EFECTIVO,562240.00,,320342,N100,(BCS) Avenida Estacion,8010,
,02/10/2024,COMPRA INTERNET,-7526.00,,321102,N227,(BCS) Internet,953701937,
,02/10/2024,GRAVAMEN MOVS FINANCIEROS,-30.00,,321102,N001,(BCS) Internet,953701937,
02/10/2024,,SALDO FINAL,0.00,3596679.85,,,,,
03/10/2024,,SALDO INICIAL,0.00,3596679.85,,,,,
,03/10/2024,TRANSFERENCIA OTRA ENTIDAD,4069025.00,,320532,N109,(BCS) ACH,3N9032699900000,000000079395042  TRASLADOS 000000000000000000000000  0000000000000000
,03/10/2024,DEPOSITO EN EFECTIVO,647000.00,,320336,N100,(BCS) COSMOCENTRO,59284,
03/10/2024,,SALDO FINAL,0.00,8312704.85,,,,,
04/10/2024,,SALDO INICIAL,0.00,8312704.85,,,,,
,04/10/2024,GRAVAMEN MOVS FINANCIEROS,-242.00,,321102,N001,(BCS) Internet,959929058,
,04/10/2024,COMPRA INTERNET,-60548.00,,321102,N227,(BCS) Internet,959929058,
,04/10/2024,GRAVAMEN MOVS FINANCIEROS,-1052.00,,321102,N001,(BCS) Internet,960808037,
,04/10/2024,COMPRA INTERNET,-263000.00,,321102,N227,(BCS) Internet,960808037,
,04/10/2024,COMPRA INTERNET,-223000.00,,321102,N227,(BCS) Internet,961059988,
,04/10/2024,TRANSFERENCIA OTRA ENTIDAD,2591540.00,,320532,N109,(BCS) ACH,3N9076707100000,000009012991587  PAGOS     000000000000000000000000  ACUERDO CASA FLI
,04/10/2024,GRAVAMEN MOVS FINANCIEROS,-892.00,,321102,N001,(BCS) Internet,961059988,
,04/10/2024,GRAVAMEN MOVS FINANCIEROS,-62.00,,321102,N001,(BCS) Internet,959979285,
,04/10/2024,COMPRA INTERNET,-15453.00,,321102,N227,(BCS) Internet,959979285,
04/10/2024,,SALDO FINAL,0.00,10339995.85,,,,,
05/10/2024,,SALDO INICIAL,0.00,10339995.85,,,,,
,05/10/2024,COMPRA INTERNET,-153000.00,,321102,N227,(BCS) Internet,961654627,
,05/10/2024,COMPRA INTERNET,-540000.00,,321102,N227,(BCS) Internet,961721013,
,05/10/2024,COMPRA INTERNET,-153000.00,,321102,N227,(BCS) Internet,961773823,
,05/10/2024,COMPRA INTERNET,-219000.00,,321102,N227,(BCS) Internet,961641677,
,05/10/2024,COMPRA INTERNET,-363400.00,,321102,N227,(BCS) Internet,961844568,
,05/10/2024,COMPRA INTERNET,-273000.00,,321102,N227,(BCS) Internet,961667445,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-2160.00,,321102,N001,(BCS) Internet,961711056,
,05/10/2024,COMPRA INTERNET,-304100.00,,321102,N227,(BCS) Internet,961595937,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-690.00,,321102,N001,(BCS) Internet,961083024,
,05/10/2024,COMPRA INTERNET,-282900.00,,321102,N227,(BCS) Internet,961739931,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-770.00,,321102,N001,(BCS) Internet,961610006,
,05/10/2024,COMPRA INTERNET,-450000.00,,321102,N227,(BCS) Internet,961730280,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1653.00,,321102,N001,(BCS) Internet,961073648,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-632.00,,321102,N001,(BCS) Internet,961633321,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1132.00,,321102,N001,(BCS) Internet,961739931,
,05/10/2024,COMPRA INTERNET,-540000.00,,321102,N227,(BCS) Internet,961711056,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-620.00,,321102,N001,(BCS) Internet,961793255,
,05/10/2024,COMPRA INTERNET,-158000.00,,321102,N227,(BCS) Internet,961633321,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-2160.00,,321102,N001,(BCS) Internet,961721013,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-876.00,,321102,N001,(BCS) Internet,961641677,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-612.00,,321102,N001,(BCS) Internet,961654627,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-612.00,,321102,N001,(BCS) Internet,961773823,
,05/10/2024,COMPRA INTERNET,-155000.00,,321102,N227,(BCS) Internet,961793255,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1163.00,,321102,N001,(BCS) Internet,961693679,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1252.00,,321102,N001,(BCS) Internet,961078545,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1284.00,,321102,N001,(BCS) Internet,961684679,
,05/10/2024,COMPRA INTERNET,-290731.00,,321102,N227,(BCS) Internet,961693679,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1454.00,,321102,N001,(BCS) Internet,961844568,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1092.00,,321102,N001,(BCS) Internet,961667445,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1454.00,,321102,N001,(BCS) Internet,961825192,
,05/10/2024,COMPRA INTERNET,-144000.00,,321102,N227,(BCS) Internet,961066118,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-800.00,,321102,N001,(BCS) Internet,961765704,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-980.00,,321102,N001,(BCS) Internet,961087506,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-800.00,,321102,N001,(BCS) Internet,961754933,
,05/10/2024,COMPRA INTERNET,-427800.00,,321102,N227,(BCS) Internet,961703225,
,05/10/2024,COMPRA INTERNET,-200000.00,,321102,N227,(BCS) Internet,961754933,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-576.00,,321102,N001,(BCS) Internet,961066118,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-868.00,,321102,N001,(BCS) Internet,961858856,
,05/10/2024,COMPRA INTERNET,-217000.00,,321102,N227,(BCS) Internet,961858856,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1800.00,,321102,N001,(BCS) Internet,961730280,
,05/10/2024,COMPRA INTERNET,-413287.00,,321102,N227,(BCS) Internet,961073648,
,05/10/2024,COMPRA INTERNET,-172500.00,,321102,N227,(BCS) Internet,961083024,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1216.00,,321102,N001,(BCS) Internet,961595937,
,05/10/2024,COMPRA INTERNET,-313000.00,,321102,N227,(BCS) Internet,961078545,
,05/10/2024,COMPRA INTERNET,-321000.00,,321102,N227,(BCS) Internet,961684679,
,05/10/2024,COMPRA INTERNET,-192490.00,,321102,N227,(BCS) Internet,961610006,
,05/10/2024,COMPRA INTERNET,-200000.00,,321102,N227,(BCS) Internet,961765704,
,05/10/2024,COMPRA INTERNET,-245000.00,,321102,N227,(BCS) Internet,961087506,
,05/10/2024,COMPRA INTERNET,-363400.00,,321102,N227,(BCS) Internet,961825192,
,05/10/2024,GRAVAMEN MOVS FINANCIEROS,-1711.00,,321102,N001,(BCS) Internet,961703225,
05/10/2024,,SALDO FINAL,0.00,3220020.85,,,,,
06/10/2024,,SALDO INICIAL,0.00,3220020.85,,,,,
06/10/2024,,SALDO FINAL,0.00,3220020.85,,,,,
07/10/2024,,SALDO INICIAL,0.00,3220020.85,,,,,
,07/10/2024,COMPRA INTERNET,-1294700.00,,321102,N227,(BCS) Internet,965392166,
,07/10/2024,GRAVAMEN MOVS FINANCIEROS,-5179.00,,321102,N001,(BCS) Internet,965392166,
,07/10/2024,TRANSFERENCIA OTRA ENTIDAD,1857000.00,,320532,N109,(BCS) ACH,3N90926983,000000016928313  TRASLADOS 000000016928313       JORGE ENRIQUE RAM
